Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Reward Total,Running Mean 
800,3693,86.9,11.4,2022-08-10 03:39:31.740652,2022-08-10 10:51:50.182205,7:12:18.441553,-13.0,-15.350580530398828
800,3694,87.7,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:52:00.307200,7:12:28.566548,-10.0,-15.29707472509484
800,3695,86.1,10.6,2022-08-10 03:39:31.740652,2022-08-10 10:52:14.479079,7:12:42.738427,-9.0,-15.23410397784389
800,3696,84.6,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:52:23.838453,7:12:52.097801,-17.0,-15.251762938065452
800,3697,89.0,11.0,2022-08-10 03:39:31.740652,2022-08-10 10:52:32.197829,7:13:00.457177,-21.0,-15.3092453086848
800,3698,87.6,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:52:40.932213,7:13:09.191561,-18.0,-15.33615285559795
800,3699,87.6,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:52:51.416581,7:13:19.675929,-12.0,-15.30279132704197
800,3700,87.7,10.2,2022-08-10 03:39:31.740652,2022-08-10 10:53:01.104074,7:13:29.363422,-21.0,-15.359763413771551
800,3701,87.6,11.0,2022-08-10 03:39:31.740652,2022-08-10 10:53:09.869704,7:13:38.129052,-12.0,-15.326165779633834
800,3702,85.9,10.9,2022-08-10 03:39:31.740652,2022-08-10 10:53:16.916576,7:13:45.175924,-17.0,-15.342904121837496
800,3703,87.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 10:53:28.119705,7:13:56.379053,-16.0,-15.34947508061912
800,3704,89.0,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:53:37.619701,7:14:05.879049,-15.0,-15.34598032981293
800,3705,86.9,10.3,2022-08-10 03:39:31.740652,2022-08-10 10:53:48.463453,7:14:16.722801,-17.0,-15.3625205265148
800,3706,86.0,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:53:59.150952,7:14:27.410300,-18.0,-15.38889532124965
