Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean 
200,1456,65.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:16.122607,0:39:13.124900,-20.021657930852335
200,1457,67.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:18.200735,0:39:15.203028,-20.02144135154381
200,1458,69.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:20.106982,0:39:17.109275,-20.03122693802837
200,1459,69.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:21.575732,0:39:18.578025,-20.030914668648087
200,1460,67.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:23.606977,0:39:20.609270,-20.030605521961604
200,1461,66.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:25.435106,0:39:22.437399,-20.04029946674199
200,1462,68.9,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:03:27.216358,0:39:24.218651,-20.02989647207457
200,1463,66.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:28.841358,0:39:25.843651,-20.019597507353826
200,1464,70.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:30.466359,0:39:27.468652,-20.019401532280288
200,1465,69.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:32.325729,0:39:29.328022,-20.009207516957485
200,1466,69.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:34.247607,0:39:31.249900,-20.00911544178791
200,1467,69.8,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:36.231985,0:39:33.234278,-20.00902428737003
200,1468,69.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:37.888233,0:39:34.890526,-20.00893404449633
200,1469,65.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:39.481984,0:39:36.484277,-19.998844704051365
200,1470,68.4,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:41.310105,0:39:38.312398,-20.00885625701085
200,1471,70.1,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:03:42.825735,0:39:39.828028,-20.018767694440744
200,1472,67.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:44.591358,0:39:41.593651,-20.02858001749634
200,1473,68.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:46.169486,0:39:43.171779,-20.038294217321376
200,1474,68.3,9.7,2022-08-10 15:24:02.997707,2022-08-10 16:03:48.513237,0:39:45.515530,-20.017911275148162
200,1475,66.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:49.903858,0:39:46.906151,-20.01773216239668
